name,scholarid
A Min Tjoa,x8qCMhcAAAAJ
A. Aldo Faisal,WjHjbrwAAAAJ
A. Antony Franklin,LVfqLuoAAAAJ
A. B. M. Alim Al Islam,K-AIPzQAAAAJ
A. C. Cem Say,rOum2XsAAAAJ
A. C. W. Finkelstein,n8xuCVkAAAAJ
A. Cüneyd Tantug,TTawdWMAAAAJ
A. D. Fekete,Hs9cVRgAAAAJ
A. E. Eiben,NMuDAe0AAAAJ
A. Ercument Cicek,n25sJzkAAAAJ
A. J. Field,rn3Lg2wAAAAJ
A. J. Jansen,qHiBTg0AAAAJ
A. J. Kfoury,VpdYemsAAAAJ
A. J. Ko 0001,otmdDLoAAAAJ
A. Jefferson Offutt,NOSCHOLARPAGE
A. John Power,mCvZPDn8heUC
A. M. A. Hemmatyar,NOSCHOLARPAGE
A. Min Tjoa,x8qCMhcAAAAJ
A. Neil Arnason,NOSCHOLARPAGE
A. P. Wim Böhm,NOSCHOLARPAGE
A. Pavan 0001,4QIV0FUAAAAJ
A. Prasad Sistla,NOSCHOLARPAGE
A. Prasad Vinod,NOSCHOLARPAGE
A. Rau-Chaplin,NOSCHOLARPAGE
A. Robert Calderbank,NOSCHOLARPAGE
A. S. Madhukumar,mF-F-zkAAAAJ
A. Sima Etaner-Uyar,qvxemZwAAAAJ
A. T. Chamillard,NOSCHOLARPAGE
A. Taylan Cemgil,X3ZFZ7AAAAAJ
A. Th. Schreiber,lRZKdMYAAAAJ
A. Udaya Shankar,NOSCHOLARPAGE
A. V. Subramanyam,B0Hy8NkAAAAJ
A. W. Roscoe,miixtKcAAAAJ
A. William Roscoe,miixtKcAAAAJ
A. Yurdakul,6UUbTP4AAAAJ
Aaditeshwar Seth,XpOIYBoAAAAJ
Aamena Al Shamsi,45uuU3gAAAAJ
Aamena Alshamsi,45uuU3gAAAAJ
Aamir Cheema,chWbG70AAAAJ
Aanjhan Ranganathan,Jid_EAkAAAAJ
Aapo Hyvärinen,UnrY-40AAAAJ
Aarne Ranta,NOSCHOLARPAGE
Aaron Bernstein,NOSCHOLARPAGE
Aaron Bobick,rynvwScAAAAJ
Aaron C. Courville,km6CP8cAAAAJ
Aaron Clauset,e7VI_HcAAAAJ
Aaron D. Striegel,w88NouMAAAAJ
Aaron F. Bobick,rynvwScAAAAJ
Aaron Harwood,3jf-G0YAAAAJ
Aaron Henry Potechin,z28rttMAAAAJ
Aaron J. Elmore,NOSCHOLARPAGE
Aaron Leon Roth,kLUQrrYAAAAJ
Aaron M. Dollar,jFekO3IAAAAJ
Aaron Potechin,z28rttMAAAAJ
Aaron Quigley,LujyjYoAAAAJ
Aaron Roth 0001,kLUQrrYAAAAJ
Aaron Schulman,OP27m34AAAAJ
Aaron Sidford,SWqd2rgAAAAJ
Aaron Striegel,w88NouMAAAAJ
Aaron Stump,568MtVQAAAAJ
Aaron Visaggio,bNMLhsIAAAAJ
Aarti Gupta,S_jYB2sAAAAJ
Aarti Singh,6jP3ZSEAAAAJ
Aasa Feragen,MNDVpoUAAAAJ
Aasheesh Kolli,UcfzOQYAAAAJ
Abbas Edalat,KP1AXgwAAAAJ
Abbas Heydarnoori,s5vgK3kAAAAJ
Abbe Mowshowitz,KwmExSIAAAAJ
Abbes Amira,yp_wQZMAAAAJ
Abdallah Saffidine,yWzT7LAAAAAJ
Abdel Latif Abu Dalhoum,zXiv9G8AAAAJ
AbdelRahman Abdou,qEl1DpQAAAAJ
Abdelaziz Bouras,QKaJ_JgAAAAJ
Abdelfattah Amamra,cXl_OFIAAAAJ
Abdelhakim Hafid,NOSCHOLARPAGE
Abdelhakim Senhaji Hafid,NOSCHOLARPAGE
Abdelkarim Erradi,2VhGiuAAAAAJ
Abdelmounaam Rezgui,QUuC8lAAAAAJ
Abdelsalam Helal,NOSCHOLARPAGE
Abdeslam Boularias,8AF3RCsAAAAJ
Abdol-Hossein Esfahanian,NOSCHOLARPAGE
Abdolreza Abhari,V8hkFhcAAAAJ
Abdou S. Youssef,NOSCHOLARPAGE
Abdou Youssef,NOSCHOLARPAGE
Abdul Mohsen Almalawi,XxBxuykAAAAJ
Abdul Serwadda,0YfFzzUAAAAJ
Abdulaziz Ali,S42RixYAAAAJ
Abdulla K. Al-Ali,s1LawbAAAAAJ
Abdullah Algarni,fQldSpoAAAAJ
Abdullah Basuhail,NOSCHOLARPAGE
Abdullah Ercument Cicek,n25sJzkAAAAJ
Abdullah Mueen,OImDWloAAAAJ
Abdullah Muzahid,hN7mpGMAAAAJ
Abdullah Uz Tansel,emeq3i8AAAAJ
Abdulmohsen Almalawi,XxBxuykAAAAJ
Abdulmotaleb El-Saddik,VcOjgngAAAAJ
Abedelaziz Mohaisen,q387AywAAAAJ
Abhi Shelat,NOSCHOLARPAGE
Abhijeet Ghosh,EG_UZvwAAAAJ
Abhijit Das 0004,vpWPul0AAAAJ
Abhijit S. Pandya,NOSCHOLARPAGE
Abhik Roychoudhury,UxFWSJIAAAAJ
Abhinav Bhatele,3x65qtwAAAAJ
Abhinav Dhall,ypusncAAAAAJ
Abhinav Gupta 0001,NOSCHOLARPAGE
Abhinav Shrivastava,mIF9BowAAAAJ
Abhiram G. Ranade,lb5ffQ8AAAAJ
Abhiram Ranade,lb5ffQ8AAAAJ
Abhishek Bhattacharjee,AopgnHAAAAAJ
Abhishek Chandra,hSklLfsAAAAJ
Abhishek Jain 0002,xjkmJsgAAAAJ
Abhishek Mishra,Ayz2rOwAAAAJ
Abhishek Sarkar,SV0gEjQAAAAJ
Abhishek Srivastava,8DUQgIIAAAAJ
Abhradeep Guha Thakurta,1rV69hMAAAAJ
Abhradeep Thakurta,1rV69hMAAAAJ
Abilio Lucena,_YS2DcIAAAAJ
Abolfazl Asudeh,cJXIgasAAAAJ
Abolfazl Razi,DhwC8gsAAAAJ
Abolfazl S. Motahari,rJ-biB0AAAAJ
Abolfazl Seyed Motahari,rJ-biB0AAAAJ
Abraham Bernstein,ZYNjTykAAAAJ
Abraham Duarte,wsBEPbYAAAAJ
Abraham Silberschatz,-YvgZDEAAAAJ
Abram Hindle,vuT1ZlUAAAAJ
Abtin Rahimian,2iXwFdsAAAAJ
Abu Sayed Md. Latiful Hoque,3-Sb7tMAAAAJ
Abul Kashem,NOSCHOLARPAGE
Abusayeed Saifullah,CYwffSUAAAAJ
Abyayananda Maiti,N49XT94AAAAJ
Achille Pattavina,NOSCHOLARPAGE
Achim Blumensath,NOSCHOLARPAGE
Achim Streit,i72A44MAAAAJ
Achutavarrier Prasad Vinod,NOSCHOLARPAGE
Ada Gavrilovska,OlRjTCIAAAAJ
Ada Wai-Chee Fu,tcwyqtUAAAAJ
Adalbert Gerald Soosai Raj,0TxoLzMAAAAJ
Adalberto L. Simeone,NwkRNhkAAAAJ
Adalberto Lafcadio Simeone,NwkRNhkAAAAJ
Adam A. Porter,j7F7yq0AAAAJ
Adam Bates 0001,1dVglBkAAAAJ
Adam Belay,AKQec5wAAAAJ
Adam Chlipala,Imh0w3AAAAAJ
Adam Czajka,_OObpEkAAAAJ
Adam D. Smith,fkGi-JMAAAAJ
Adam Doupé,hsJqhNAAAAAJ
Adam Finkelstein,a959F6AAAAAJ
Adam Hahn,nGBlVWwAAAAJ
Adam J. Aviv,ExgxufEAAAAJ
Adam J. Lee,pBb87nEAAAAJ
Adam Klivans,UD87zMYAAAAJ
Adam Krzyzak,fYbg3F8AAAAJ
Adam Lopez,u4sxKZwAAAAJ
Adam M. Bates,1dVglBkAAAAJ
Adam M. Smith,78OLNd4AAAAJ
Adam Morrison 0001,GMEoZR0AAAAJ
Adam O'Neill,SIFRrBIAAAAJ
Adam R. Klivans,UD87zMYAAAAJ
Adam Steele,NOSCHOLARPAGE
Adam W. Bargteil,fArWdfAAAAAJ
Adam Wierman,4OvOdSgAAAAJ
Adam Wolisz,Gq8gWX4AAAAJ
Adams Wai-Kin Kong,NOSCHOLARPAGE
Adarsh S. Sethi,NOSCHOLARPAGE
Adarshpal S. Sethi,NOSCHOLARPAGE
Adel Cherif,obJnqXUAAAAJ
Adel Elmaghraby,84U09_IAAAAJ
Adel Said Elmaghraby,84U09_IAAAAJ
Adele A. Rescigno,PtEkQRAAAAAJ
Adele Anna Rescigno,PtEkQRAAAAAJ
Adenilso Simão,gdT5wnMAAAAJ
Adenilso da Silva Simão,gdT5wnMAAAAJ
Adilson Elias Xavier,uTO_O_8AAAAJ
Adish Singla,kXz2seUAAAAJ
Aditi Majumder,tXhqJv0AAAAJ
Aditya Akella,d_rxnzAAAAAJ
Aditya Bhaskara,tqxTaiAAAAAJ
Aditya G. Parameswaran,VeB3UbcAAAAJ
Aditya Kanade,NOSCHOLARPAGE
Aditya Mathur,DdQMeHoAAAAJ
Aditya Nigam,ffSpknUAAAAJ
Aditya P. Mathur,DdQMeHoAAAAJ
Aditya Tatu,f0nqLS8AAAAJ
Aditya Thakur,x8952qgAAAAJ
Aditya Thakur 0001,x8952qgAAAAJ
Aditya V. Thakur,x8952qgAAAAJ
Adlen Ksentini,U6YFwO4AAAAJ
Adnan Darwiche,pygPWvEAAAAJ
Adnan Ozsoy,Ic73aUUAAAAJ
Adnan Yazici,ebJH_QwAAAAJ
Adolfo Muñoz,H8bBlDkAAAAJ
Adrian Dumitrescu,cjVwVpsAAAAJ
Adrian G. Bors,cvdyalUAAAAJ
Adrian Hilton,vTIYTNQAAAAJ
Adrian P. Lauf,fU0XrdEAAAAJ
Adrian Perrig,n-Oret4AAAAJ
Adrian R. Pearce,GIBSIRAAAAAJ
Adrian R. Vetta,DJmwoRYAAAAJ
Adrian Sampson,Bq50aCUAAAAJ
Adrian Sandu,A7fZNg0AAAAJ
Adrian Segall,dwJenMwAAAAJ
Adrian Vetta,DJmwoRYAAAAJ
Adriana B. Compagnoni,S-zXJGUAAAAJ
Adriana Ferraro,f5QpDogAAAAJ
Adriana Iamnitchi,BfrPSGIAAAAJ
Adriana Kovashka,Dl949GoAAAAJ
Adriana Schulz,2D6rV-UAAAAJ
Adriano Alonso Veloso,j2BEVSoAAAAJ
Adriano C. M. Pereira,MT9oSSwAAAAJ
Adriano César Machado Pereira,MT9oSSwAAAAJ
Adriano Velasque Werhli,NOSCHOLARPAGE
Adriano Veloso,j2BEVSoAAAAJ
Adrien Basso-Blandin,zVizzZIAAAAJ
Adrien Poteaux,NOSCHOLARPAGE
Adrienne Decker,JjLxdewAAAAJ
Adrián Jarabo,pXKBhbkAAAAJ
Aduri Pavan,4QIV0FUAAAAJ
Adwait Jog,9RgqL8gAAAAJ
Adwait Nadkarni,5JwbQc0AAAAJ
Afra Alishahi,IuAwLqUAAAAJ
Afzel Noore,rEopbiMAAAAJ
Agata Ciabattoni,pAyqI0wAAAAJ
Agathoniki Trigoni,NOSCHOLARPAGE
Aggeliki Arapoyanni,NOSCHOLARPAGE
Aggelos K. Katsaggelos,aucB85kAAAAJ
Aggelos Kiayias,P_L_vZAAAAAJ
Agma J. M. Traina,v2-C4i4AAAAJ
Agma Juci Machado Traina,v2-C4i4AAAAJ
Agnar Aamodt,-3L6uJMAAAAJ
Agnes Hui Chan,NOSCHOLARPAGE
Agneta Nilsson,NOSCHOLARPAGE
Agustin Fernández,HdZWRU8AAAAJ
Agustín Gravano,GrKOwHIAAAAJ
Ah-Hwee Tan,G0hdDqYAAAAJ
Aharon Bar-Hillel,x4GlT3IAAAAJ
Ahmad Alzahrani,10GPVtsAAAAJ
Ahmad R. Dhaini,SoP_HnYAAAAJ
Ahmad Sharieh,lXeTzzAAAAAJ
Ahmad-Reza Sadeghi,p66Ie-YAAAAJ
Ahmed Abdelali,ib1BYugAAAAJ
Ahmed Abu-Hajar,NOSCHOLARPAGE
Ahmed Ali,t0gYEjAAAAAJ
Ahmed Awad,_Ty6jFcAAAAJ
Ahmed Desoky,NOSCHOLARPAGE
Ahmed E. Hassan,9hwXx34AAAAJ
Ahmed El-Roby,DA68vjUAAAAJ
Ahmed Eldawy,bshz1DEAAAAJ
Ahmed Elgammal,DxQiCiIAAAAJ
Ahmed Helmy,QcO9p8AAAAAJ
Ahmed K. Elmagarmid,Cb9BDJkAAAAJ
Ahmed Karmouch,kQpPzdgAAAAJ
Ahmed M. Elgammal,DxQiCiIAAAAJ
Ahmed Sameh,tk2gySEAAAAJ
Ahmet Burak Can,NOSCHOLARPAGE
Ahmet Celal Cem Say,rOum2XsAAAAJ
Ahmet Cüneyd Tantug,TTawdWMAAAAJ
Ahmet Erdem Sariyüce,sK4Ck6gAAAAJ
Ahmet Oguz Akyüz,F_kPcyEAAAAJ
Ahti Peder,NOSCHOLARPAGE
Ai-Chun Pang,NOSCHOLARPAGE
Aibek Musaev,cQPdjdgAAAAJ
Aibek Musave,cQPdjdgAAAAJ
Aidan Hogan,CP-fgY4AAAAJ
Aidong Lu,NOSCHOLARPAGE
Aidong Zhang,O8XxkE4AAAAJ
Aiiad Albeshri,JWxNSb4AAAAJ
Aiichiro Nakano,NOSCHOLARPAGE
Aijun An,2eUL7eEAAAAJ
Aikaterini Mitrokotsa,NOSCHOLARPAGE
Ailamaki Natassa,YdrkeNwAAAAJ
Aiman Erbad,6Pmbv8IAAAAJ
Aiman Hanna,NOSCHOLARPAGE
Aimin Hao,NOSCHOLARPAGE
Aisling Ann O'Kane,iclMxTUAAAAJ
Aisling Kelliher,71RtIxoAAAAJ
Aiswarya Cyriac,NLwqvCwAAAAJ
Aivar Annamaa,sQ5LoEcAAAAJ
Aixia Jia,NOSCHOLARPAGE
Aixin Sun,wyKGVKUAAAAJ
Ajai Jain,y7TbKJMAAAAJ
Ajay D. Kshemkalyani,2jRpisYAAAAJ
Ajay Gupta 0001,1NjXIr0AAAAJ
Ajay Kapur,lk_XVf0AAAAJ
Ajay Kumar 0001,ksn2yhIAAAAJ
Ajit A. Diwan,XpPk_GwAAAAJ
Ajit Arvind Diwan,XpPk_GwAAAAJ
Ajit Pal,Q3T1QRcAAAAJ
Ajit Rajwade,CkTW7PwAAAAJ
Ajitha Rajan,Y8ROiBEAAAAJ
Ajmal Mian,X589yaIAAAAJ
Ajoy K. Datta,hmPxInwAAAAJ
Ajoy Kumar Datta,hmPxInwAAAAJ
Akane Sano,cNLW5O4AAAAJ
Akash Kumar 0001,XcwvWcUAAAAJ
Aki Vehtari,tYgN0GsAAAAJ
Akihiko Konagaya,7CCZCO8AAAAJ
Akihiko Takano,v59zRTYAAAAJ
Akihiro Sato,NOSCHOLARPAGE
Akihiro Yamamoto,NOSCHOLARPAGE
Akiko Aizawa,NOSCHOLARPAGE
Akiko N. Aizawa,NOSCHOLARPAGE
Akiko Nakahara,NOSCHOLARPAGE
Akira Kawaguchi,7cF0q3YAAAAJ
Akshat Kumar,zsYC3R0AAAAJ
Al Biles,NOSCHOLARPAGE
Al Davis,yY-df4UAAAAJ
Ala I. Al-Fuqaha,NOSCHOLARPAGE
Alain Darte,_ZLsV6QAAAAJ
Alain Finkel,jq7H21IAAAAJ
Alain J. Martin,nwfZfqoAAAAJ
Alain Tapp,tAM57M8AAAAJ
Alain Trémeau,NOSCHOLARPAGE
Alain Wegmann,NOSCHOLARPAGE
Alan Blackwell,0kWwkEUAAAAJ
Alan Blair,oYi8fBIAAAAJ
Alan Borning,NOSCHOLARPAGE
Alan Bundy,n7STZEYAAAAJ
Alan Burns,Io7KbYcAAAAJ
Alan C. H. Ling,NOSCHOLARPAGE
Alan C. Lin,NOSCHOLARPAGE
Alan C. Wright,gVSfxdgAAAAJ
Alan Chi Hung Ling,NOSCHOLARPAGE
Alan Christopher Williams,SvqEk1EAAAAJ
Alan Cline,NOSCHOLARPAGE
Alan D. Blair,oYi8fBIAAAAJ
Alan David Fekete,Hs9cVRgAAAAJ
Alan Dearle,NOSCHOLARPAGE
Alan Dorin,akGqM2IAAAAJ
Alan F. Blackwell,0kWwkEUAAAAJ
Alan Fekete,Hs9cVRgAAAAJ
Alan Fern,GaKxFrcAAAAJ
Alan H. Barr,NOSCHOLARPAGE
Alan Hanjalic,EoYbukgAAAAJ
Alan Hayes,NOSCHOLARPAGE
Alan J. Hu,6-JE5-cAAAAJ
Alan K. Mackworth,6Jf5GeYAAAAJ
